TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
22010000	20.48	20.6	11915	0.021212499999999995	5.7475e-05	3649.8589154521624
22020000	20.47	20.6	11921	0.021175	5.745e-05	3651.670647911231
22030000	20.45	20.6	11927	0.021137500000000004	5.7425e-05	3653.4843342343966
22040000	20.47	20.6	11933	0.021099999999999994	5.7400000000000006e-05	3655.2981665730476
22050000	20.49	20.6	11939	0.021062499999999998	5.7375e-05	3657.110532915592
22060000	20.5	20.6	11945	0.021025000000000002	5.7350000000000005e-05	3658.9235719442368
22070000	20.54	20.6	11951	0.020987499999999992	5.7325000000000004e-05	3660.7337701598804
22080000	20.54	20.6	11957	0.020949999999999996	5.7300000000000004e-05	3662.5365807175635
22090000	20.54	20.6	11963	0.020912499999999987	5.7275e-05	3664.349672373136
22100000	20.49	20.6	11969	0.02087499999999999	5.725e-05	3666.164048997561
22110000	20.46	20.6	11975	0.020837499999999995	5.7225e-05	3667.9643156528473
22120000	20.42	20.6	11981	0.0208	5.72e-05	3669.7341752211255
22130000	20.38	20.6	11987	0.020762500000000003	5.7175e-05	3671.5368602395056
22140000	20.38	20.6	11993	0.020724999999999993	5.715000000000001e-05	3673.3486562609673
22150000	20.39	20.6	11999	0.020687499999999998	5.7125e-05	3675.1725217223166
22160000	20.41	20.6	12005	0.020649999999999988	5.7100000000000006e-05	3676.928573862712
22170000	20.4	20.6	12011	0.020612499999999992	5.7075e-05	3678.576749702295
22180000	20.39	20.6	12017	0.020574999999999996	5.7050000000000004e-05	3680.223181970914
22190000	20.39	20.6	12023	0.0205375	5.7025000000000004e-05	3681.8700265685716
22200000	20.4	20.6	12029	0.020500000000000004	5.7e-05	3683.5177095333734
22210000	20.38	20.6	12035	0.020462499999999995	5.6975e-05	3685.164708228906
22220000	20.34	20.6	12041	0.020425	5.695e-05	3686.813232843081
22230000	20.34	20.6	12047	0.02038749999999999	5.6925e-05	3688.4621900320053
22240000	20.3	20.6	12053	0.020349999999999993	5.69e-05	3690.105840476354
22250000	20.25	20.6	12059	0.020312499999999997	5.6875e-05	3691.7512484788895
22260000	20.27	20.6	12065	0.020274999999999987	5.6850000000000006e-05	3693.397936884562
22270000	20.29	20.6	12071	0.02023749999999999	5.6825e-05	3695.043383117517
22280000	20.3	20.6	12077	0.020199999999999996	5.6800000000000005e-05	3696.6904123822846
22290000	20.33	20.6	12083	0.0201625	5.6775e-05	3698.33371159633
22300000	20.36	20.6	12089	0.020125000000000004	5.6750000000000004e-05	3699.9958786328634
22310000	20.35	20.6	12095	0.020087499999999994	5.6725e-05	3701.654193862279
22320000	20.37	20.6	12101	0.02005	5.67e-05	3703.3127135952313
22330000	20.37	20.6	12107	0.02001249999999999	5.6675e-05	3704.970904016495
22340000	20.4	20.6	12114	0.019974999999999993	5.665e-05	3706.6315121769903
22350000	20.4	20.6	12120	0.019937499999999997	5.6625e-05	3708.2905992706615
22360000	20.43	20.6	12126	0.0199	5.66e-05	3709.9501207669578
22370000	20.47	20.6	12132	0.019862500000000005	5.6575e-05	3711.606808245182
22380000	20.53	20.6	12138	0.019824999999999995	5.6550000000000006e-05	3713.2516030192373
22390000	20.57	20.6	12144	0.0197875	5.6525e-05	3714.873744054635
22400000	20.58	20.6	12150	0.01974999999999999	5.6500000000000005e-05	3716.469242711862
22410000	20.6	20.6	12156	0.019712499999999994	5.6475e-05	3718.149859905243
22420000	20.62	20.62	12162	0.019674999999999998	5.645e-05	3719.8706588506698
22430000	20.66	20.66	12168	0.01963749999999999	5.6425e-05	3721.5901685674985
22440000	20.65	20.66	12174	0.019599999999999992	5.64e-05	3723.274679450194
22450000	20.62	20.66	12180	0.019562499999999997	5.6375e-05	3724.911086157958
22460000	20.63	20.66	12186	0.019525	5.635e-05	3726.597360944748
22470000	20.62	20.66	12192	0.019487500000000005	5.6325e-05	3728.286392124494
22480000	20.6	20.66	12198	0.019449999999999995	5.63e-05	3729.976368586222
22490000	20.6	20.66	12205	0.0194125	5.6275e-05	3731.663439154625
22500000	20.58	20.66	12210	0.01937499999999999	5.6250000000000005e-05	3733.3519101858137
22510000	20.59	20.66	12217	0.019337499999999994	5.6225000000000005e-05	3735.0430041035015
22520000	20.59	20.66	12223	0.019299999999999998	5.6200000000000004e-05	3736.728942990303
22530000	20.57	20.66	12229	0.019262500000000002	5.6175000000000003e-05	3738.4209368427596
22540000	20.54	20.66	12235	0.019225000000000006	5.615e-05	3740.106654159228
22550000	20.51	20.66	12241	0.019187499999999996	5.6125e-05	3741.8099997798604
22560000	20.51	20.66	12247	0.01915	5.61e-05	3743.5082540194194
22570000	20.52	20.66	12253	0.01911249999999999	5.607500000000001e-05	3745.2011257131894
22580000	20.57	20.66	12259	0.019074999999999995	5.605e-05	3746.8907178997993
22590000	20.59	20.66	12265	0.0190375	5.6025000000000007e-05	3748.581566719214
22600000	20.56	20.66	12271	0.01899999999999999	5.6e-05	3750.2727535883587
22610000	20.55	20.66	12277	0.018962499999999993	5.5975000000000005e-05	3751.9673082470895
22620000	20.54	20.66	12283	0.018924999999999997	5.5950000000000005e-05	3753.660652335485
22630000	20.54	20.66	12289	0.0188875	5.5925000000000004e-05	3755.3568053722383
22640000	20.52	20.66	12295	0.018850000000000006	5.5900000000000004e-05	3757.0495936433476
22650000	20.51	20.66	12301	0.018812499999999996	5.5875e-05	3758.742861266931
22660000	20.49	20.66	12307	0.018775	5.585e-05	3760.43347812891
22670000	20.48	20.66	12313	0.01873749999999999	5.582500000000001e-05	3762.1253303925196
